subway_line_used_most_often,use_of_subway_frequency,average_length_subway_ride,overall_satisfaction,frequency_of_delays,approximate_delay_duration,alternative_transport,frequency_of_rerouting,most_common_reason_for_delay,is_subway_affordable,opinion_on_increased_fares,submitted_at,collection_method,complaint_1,complaint_2,complaint_3
F,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,20 - 45 min,For-hire vehicle,Only on weekends,Train traffic,True,Other / No thoughts,01/07/2019 @ 05:10 PM,in person,Frequent route changes,Station infrastructure,Lack of handicap access
F,~5 days per week,20 - 40 min,Neutral,A few times a week,20 - 45 min,Wait for next train,Only on weekends,Sick passenger,True,Positive,01/07/2019 @ 05:10 PM,in person,Delays,Frequent route changes,Overcrowded trains
7,"More than once a week, varies",40 - 60 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/07/2019 @ 05:11 PM,in person,Frequent route changes,Crime / Safety,Overcrowded trains
C,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,,For-hire vehicle,Only on weekends,Weather,False,Negative,01/07/2019 @ 05:12 PM,in person,Delays,Frequent route changes,High fares
E,Once a week,< 20 min,Very satisfied,Almost never,5 - 10 min,Wait for next train,Almost never,Waiting for signal change,True,Neutral,01/07/2019 @ 05:13 PM,in person,,,
7,Everyday / Almost everyday,< 20 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Almost never,Train traffic,False,Negative,01/07/2019 @ 05:13 PM,in person,Frequent route changes,Customer service,Overcrowded trains
E,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,10 - 20 min,Use another train,All the time,Waiting for signal change,False,Unaware,01/07/2019 @ 05:13 PM,in person,Delays,Station infrastructure,Overcrowded trains
1,~5 days per week,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Wait for next train,Only on weekends,Signal malfunction,True,Negative,01/07/2019 @ 05:17 PM,in person,Delays,High fares,Old trains
7,~5 days per week,,,,,,,,True,,01/07/2019 @ 05:18 PM,in person,,,
1,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,All the time,Signal malfunction,False,Neutral,01/07/2019 @ 05:19 PM,in person,Delays,Frequent route changes,Overcrowded trains
2,Everyday / Almost everyday,40 - 60 min,Neutral,A few times a week,10 - 20 min,Take a bus,Only on weekends,Signal malfunction,True,Negative,01/07/2019 @ 05:20 PM,in person,Delays,,
E,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,,Wait for next train,Only on weekends,Train traffic,False,Negative,01/07/2019 @ 05:21 PM,in person,Frequent route changes,Old trains,Lack of handicap access
7,~5 days per week,20 - 40 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,All the time,Train traffic,False,Negative,01/07/2019 @ 05:21 PM,in person,Delays,High fares,Overcrowded trains
7,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Other / No thoughts,01/07/2019 @ 05:22 PM,in person,Delays,Station infrastructure,Overcrowded trains
F,~5 days per week,60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Walk,All the time,Train traffic,False,Negative,01/07/2019 @ 05:26 PM,in person,Delays,Frequent route changes,High fares
E,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,A few times a week,5 - 10 min,Take a bus,Only at night,Waiting for signal change,True,Negative,01/07/2019 @ 05:29 PM,in person,Frequent route changes,Old trains,Lack of handicap access
E,"Weekdays, Mon - Fri",40 - 60 min,Highly unsatisfied,A few times a week,,Use another train,Only on weekends,Train traffic,True,Unaware,01/07/2019 @ 05:29 PM,in person,Delays,Overcrowded trains,
7,Everyday / Almost everyday,20 - 40 min,Neutral,Everyday,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,False,Negative,01/07/2019 @ 05:32 PM,in person,Delays,Frequent route changes,Station infrastructure
7,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,10 - 20 min,For-hire vehicle,Only at night,Train traffic,False,Positive,01/07/2019 @ 05:33 PM,in person,Delays,Frequent route changes,Station infrastructure
E,~5 days per week,20 - 40 min,Not satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,False,Negative,01/07/2019 @ 05:35 PM,in person,Delays,,
7,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,5 - 10 min,Use another train,Only on weekends,Train traffic,True,Negative,01/07/2019 @ 05:38 PM,in person,Delays,Crime / Safety,Customer service
7,"More than once a week, varies",40 - 60 min,Highly unsatisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Signal malfunction,True,Positive,01/07/2019 @ 05:39 PM,in person,Delays,Station infrastructure,Lack of handicap access
7,Everyday / Almost everyday,< 20 min,Very satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Unaware,01/07/2019 @ 05:40 PM,in person,Delays,,
E,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,10 - 20 min,Wait for next train,All the time,Train traffic,False,Negative,01/07/2019 @ 05:41 PM,in person,Delays,High fares,Station infrastructure
E,Once a month,60 - 90 min,Very satisfied,Almost never,10 - 20 min,Take a bus,Only on weekends,Sick passenger,True,Unaware,01/07/2019 @ 05:44 PM,in person,Frequent route changes,High fares,Customer service
7,~5 days per week,60 - 90 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Neutral,01/07/2019 @ 05:49 PM,in person,Delays,Crime / Safety,
F,Everyday / Almost everyday,40 - 60 min,Not satisfied,A few times a week,5 - 10 min,Use another train,Only on weekends,Signal malfunction,True,Positive,01/07/2019 @ 05:52 PM,in person,Delays,Station infrastructure,Overcrowded trains
E,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,For-hire vehicle,All the time,Train traffic,True,Unaware,01/07/2019 @ 05:54 PM,in person,Delays,Frequent route changes,Overcrowded trains
E,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,Signal malfunction,True,Neutral,01/07/2019 @ 05:54 PM,in person,Delays,Station infrastructure,Overcrowded trains
E,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Everyday,10 - 20 min,Use another train,Almost never,Sick passenger,True,Positive,01/07/2019 @ 05:56 PM,in person,Delays,Crime / Safety,
E,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Everyday,20 - 45 min,Wait for next train,Only at night,Train traffic,True,Other / No thoughts,01/07/2019 @ 05:58 PM,in person,Customer service,Old trains,
F,~5 days per week,60 - 90 min,Not satisfied,A few times a week,20 - 45 min,For-hire vehicle,All the time,Train traffic,True,Unaware,01/07/2019 @ 05:58 PM,in person,Delays,Frequent route changes,
F,Everyday / Almost everyday,60 - 90 min,Not satisfied,Everyday,20 - 45 min,Wait for next train,All the time,Train traffic,True,Positive,01/07/2019 @ 06:00 PM,in person,Delays,Frequent route changes,Crime / Safety
7,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,Everyday,20 - 45 min,Take a bus,All the time,No reason is given,False,Negative,01/07/2019 @ 06:01 PM,in person,Delays,Crime / Safety,Overcrowded trains
7,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,A few times a week,45 - 60 min,Use another train,Only on weekends,Train traffic,True,Positive,01/07/2019 @ 06:03 PM,in person,Delays,Overcrowded trains,
E,"Weekdays, Mon - Fri",60 - 90 min,Highly unsatisfied,Everyday,20 - 45 min,Use another train,All the time,Train traffic,False,Negative,01/07/2019 @ 06:04 PM,in person,Delays,High fares,Crime / Safety
E,Everyday / Almost everyday,20 - 40 min,Highly unsatisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Train traffic,False,Positive,01/07/2019 @ 06:05 PM,in person,Delays,Frequent route changes,Station infrastructure
E,"More than once a week, varies",20 - 40 min,Very satisfied,Almost never,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Negative,01/07/2019 @ 06:13 PM,in person,Delays,Customer service,Station infrastructure
A,"More than once a week, varies",20 - 40 min,Somewhat satisfied,Rarely,5 - 10 min,Wait for next train,Only on weekends,Waiting for signal change,True,Other / No thoughts,01/07/2019 @ 06:15 PM,in person,Delays,Station infrastructure,Overcrowded trains
6,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,Sick passenger,True,Neutral,01/07/2019 @ 06:19 PM,in person,Delays,Customer service,
E,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Wait for next train,Almost never,Train traffic,False,Positive,01/07/2019 @ 06:21 PM,in person,Overcrowded trains,,
7,Everyday / Almost everyday,< 20 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,All the time,Train traffic,False,Negative,01/07/2019 @ 06:22 PM,in person,Delays,High fares,Customer service
E,Once a month,40 - 60 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Almost never,No reason is given,True,Positive,01/07/2019 @ 06:25 PM,in person,Customer service,Overcrowded trains,
1,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,Wait for next train,Only on weekends,Weather,True,Positive,01/07/2019 @ 06:27 PM,in person,Delays,Frequent route changes,Station infrastructure
R,Everyday / Almost everyday,20 - 40 min,Not satisfied,Everyday,10 - 20 min,Take a bus,,Train traffic,True,Other / No thoughts,01/07/2019 @ 06:27 PM,in person,Delays,Station infrastructure,
7,"More than once a week, varies",20 - 40 min,Not satisfied,A few times a week,20 - 45 min,Take a bus,All the time,,True,,01/07/2019 @ 06:31 PM,in person,,,
1,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,10 - 20 min,Use another train,All the time,Train traffic,False,Positive,01/08/2019 @ 07:11 AM,in person,Delays,High fares,Overcrowded trains
3,Everyday / Almost everyday,< 20 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only at night,Train traffic,True,Unaware,01/08/2019 @ 07:14 AM,in person,Delays,Frequent route changes,Crime / Safety
J,Everyday / Almost everyday,60 - 90 min,Somewhat satisfied,Rarely,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Negative,01/08/2019 @ 07:17 AM,in person,Delays,,
3,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,For-hire vehicle,Only at night,Police incident,False,Positive,01/08/2019 @ 07:17 AM,in person,Delays,Frequent route changes,Overcrowded trains
4,Everyday / Almost everyday,40 - 60 min,Neutral,Everyday,10 - 20 min,Wait for next train,Only on weekends,Train traffic,False,Other / No thoughts,01/08/2019 @ 07:23 AM,in person,Delays,Frequent route changes,Overcrowded trains
L,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Signal malfunction,True,Neutral,01/08/2019 @ 07:24 AM,in person,Delays,Customer service,Overcrowded trains
N,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Unaware,01/08/2019 @ 07:25 AM,in person,Delays,Frequent route changes,Overcrowded trains
3,"Weekdays, Mon - Fri",20 - 40 min,Neutral,A few times a week,5 - 10 min,Take a bus,Only on weekends,Train traffic,True,Negative,01/08/2019 @ 07:25 AM,in person,High fares,Crime / Safety,Overcrowded trains
3,"More than once a week, varies",20 - 40 min,Neutral,,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Positive,01/08/2019 @ 07:27 AM,in person,Delays,Crime / Safety,Overcrowded trains
3,Everyday / Almost everyday,20 - 40 min,Somewhat satisfied,Everyday,5 - 10 min,Wait for next train,Almost never,No reason is given,True,Negative,01/08/2019 @ 07:27 AM,in person,Delays,Old trains,Overcrowded trains
1,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Sick passenger,False,Negative,01/08/2019 @ 07:29 AM,in person,Delays,Frequent route changes,Lack of handicap access
4,Everyday / Almost everyday,90 min - 2 hours,Not satisfied,Everyday,10 - 20 min,Wait for next train,Only on weekends,Train traffic,True,Positive,01/08/2019 @ 07:30 AM,in person,Delays,Overcrowded trains,Lack of handicap access
L,Everyday / Almost everyday,40 - 60 min,Somewhat satisfied,A few times a week,10 - 20 min,For-hire vehicle,All the time,Signal malfunction,False,Negative,01/08/2019 @ 07:34 AM,in person,Delays,High fares,Overcrowded trains
3,Everyday / Almost everyday,< 20 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Almost never,Train traffic,True,Negative,01/08/2019 @ 07:38 AM,in person,Delays,Frequent route changes,High fares
3,"Weekdays, Mon - Fri",40 - 60 min,Neutral,Rarely,5 - 10 min,Wait for next train,Almost never,Train traffic,False,Positive,01/08/2019 @ 07:38 AM,in person,Delays,High fares,Overcrowded trains
R,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,45 - 60 min,For-hire vehicle,All the time,Signal malfunction,False,Negative,01/08/2019 @ 07:40 AM,in person,Delays,Frequent route changes,Crime / Safety
1,Everyday / Almost everyday,40 - 60 min,Not satisfied,Everyday,45 - 60 min,Use another train,All the time,Signal malfunction,False,Positive,01/08/2019 @ 07:46 AM,in person,Delays,Frequent route changes,High fares
L,"Weekdays, Mon - Fri",,,,,,,,True,,01/08/2019 @ 07:46 AM,in person,,,
2,"Weekdays, Mon - Fri",40 - 60 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,Train traffic,True,Unaware,01/08/2019 @ 07:46 AM,in person,Delays,Overcrowded trains,Lack of handicap access
3,Everyday / Almost everyday,20 - 40 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only at night,Train traffic,False,Positive,01/08/2019 @ 07:47 AM,in person,High fares,Overcrowded trains,Lack of handicap access
L,"Weekdays, Mon - Fri",< 20 min,Neutral,A few times a week,10 - 20 min,Wait for next train,Only on weekends,,True,,01/08/2019 @ 07:52 AM,in person,Delays,,
D,Everyday / Almost everyday,20 - 40 min,Not satisfied,A few times a week,10 - 20 min,Bike,Only on weekends,Train traffic,False,Positive,01/08/2019 @ 07:52 AM,in person,Delays,Frequent route changes,High fares
L,~5 days per week,< 20 min,Very satisfied,Rarely,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/08/2019 @ 07:52 AM,in person,Delays,Frequent route changes,Station infrastructure
3,Everyday / Almost everyday,< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Wait for next train,,Police incident,True,Other / No thoughts,01/08/2019 @ 07:54 AM,in person,Delays,Frequent route changes,Overcrowded trains
3,Everyday / Almost everyday,< 20 min,Very satisfied,Rarely,20 - 45 min,Walk,Only on weekends,Police incident,True,Neutral,01/08/2019 @ 07:56 AM,in person,Frequent route changes,Station infrastructure,Overcrowded trains
M,"More than once a week, varies",< 20 min,Somewhat satisfied,A few times a week,5 - 10 min,Take a bus,,,True,,01/08/2019 @ 07:58 AM,in person,,,
4,~5 days per week,< 20 min,Very satisfied,Rarely,5 - 10 min,Wait for next train,Only at night,Sick passenger,True,Neutral,01/08/2019 @ 07:59 AM,in person,Delays,Crime / Safety,Overcrowded trains
L,~5 days per week,40 - 60 min,Neutral,A few times a week,5 - 10 min,Wait for next train,Only on weekends,No reason is given,True,Unaware,01/08/2019 @ 08:00 AM,in person,Delays,Frequent route changes,
L,Everyday / Almost everyday,< 20 min,Somewhat satisfied,Rarely,5 - 10 min,Take a bus,All the time,,True,,01/08/2019 @ 08:00 AM,in person,Crime / Safety,Overcrowded trains,Lack of handicap access
C,Everyday / Almost everyday,40 - 60 min,Neutral,Everyday,20 - 45 min,Wait for next train,Only at night,Train traffic,False,Other / No thoughts,01/08/2019 @ 08:02 AM,in person,Delays,High fares,Overcrowded trains
4,~5 days per week,40 - 60 min,Highly unsatisfied,Everyday,10 - 20 min,Use another train,All the time,Waiting for signal change,False,Positive,01/08/2019 @ 08:03 AM,in person,Delays,High fares,Overcrowded trains
1,"Weekdays, Mon - Fri",20 - 40 min,Somewhat satisfied,A few times a week,10 - 20 min,,Only at night,Train traffic,True,Other / No thoughts,01/08/2019 @ 08:06 AM,in person,Delays,Frequent route changes,Lack of handicap access
J,~5 days per week,20 - 40 min,Somewhat satisfied,Rarely,10 - 20 min,Use another train,Almost never,Signal malfunction,True,Positive,01/08/2019 @ 08:06 AM,in person,High fares,Overcrowded trains,
D,"More than once a week, varies",40 - 60 min,Somewhat satisfied,,10 - 20 min,Use another train,Only on weekends,Train traffic,True,Neutral,01/08/2019 @ 08:07 AM,in person,Delays,Frequent route changes,Overcrowded trains
3,"Weekdays, Mon - Fri",< 20 min,Highly unsatisfied,Everyday,10 - 20 min,Wait for next train,Only at night,Train traffic,False,Unaware,01/08/2019 @ 08:07 AM,in person,Delays,Station infrastructure,Old trains
